Строка 0: [133, 136, 108, 108, 101]
Строка 1: [83, 104, 46, 83, 62]
Строка 2: [73, 115, 67, 79, 85]
Строка 3: [139, 165, 117, 151, 124]
Строка 4: [118, 128, 114, 109, 106]
Строка 1: [338, 278, 447, 383, 362, 306, 301, 387, 305, 296]
Строка 0: [286, 228, 345, 300, 335, 152, 242, 271, 300, 215]
Строка 3: [273, 267, 435, 370, 299, 301, 300, 320, 278, 249]
Строка 5: [222, 213, 333, 301, 205, 189, 251, 197, 214, 156]
Строка 2: [258, 228, 357, 312, 360, 236, 246, 330, 321, 261]
Строка 6: [195, 194, 287, 214, 215, 234, 176, 298, 153, 212]
Строка 7: [286, 282, 420, 360, 389, 302, 255, 398, 352, 302]
Строка 4: [281, 257, 392, 317, 297, 259, 229, 333, 257, 259]
Строка 8: [272, 256, 356, 309, 329, 244, 274, 338, 296, 229]
Строка 9: [238, 163, 299, 252, 300, 165, 205, 245, 254, 225]
